id,oai_id,value,order,file,verified,entry_type,has_attach,link_to_content
14154,oai:www.wbc.poznan.pl:47661,major Karpiński,first_page,1281.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/47661
14155,oai:www.wbc.poznan.pl:46866,przemyt ludzi do zssr,other_page,0295.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46866
14156,oai:www.wbc.poznan.pl:46866,polscy hitlerowcy,other_page,0295.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46866
14157,oai:www.wbc.poznan.pl:46866,niewolnica maharadży (powieść),other_page,0295.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46866
14158,oai:www.wbc.poznan.pl:46866,wypadek z bronią,other_page,0295.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/46866
14159,oai:www.wbc.poznan.pl:46866,organizacja błyskawica,other_page,0295.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/46866
14161,oai:www.wbc.poznan.pl:73952,Wojna światów,other_page,658_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/73952
14162,oai:www.wbc.poznan.pl:73952,Orson Wells,other_page,658_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/73952
14163,oai:www.wbc.poznan.pl:73952,Burza w domu (powieść),other_page,658_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/73952
14164,oai:www.wbc.poznan.pl:73952,elektryczna oko,other_page,658_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/73952
14165,oai:www.wbc.poznan.pl:73952,mikrofon ręczny,other_page,658_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/73952
14166,oai:www.wbc.poznan.pl:73952,żydzi i niemcy,other_page,658_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/73952
14167,oai:www.wbc.poznan.pl:73952,lwica karmi pieski,other_page,658_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/73952
14168,oai:www.wbc.poznan.pl:73952,motocykle policji kalifornijskiej,other_page,658_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/73952
14169,oai:www.wbc.poznan.pl:46151,protest szoferów,other_page,092.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46151
14170,oai:www.wbc.poznan.pl:46151,powrót poznania do rzeszy,other_page,092.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/46151
14172,oai:www.wbc.poznan.pl:46151,śmiertelne żniwo grypy,other_page,092.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/46151
14173,oai:www.wbc.poznan.pl:46151,się pomaga,other_page,092.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/46151
14175,oai:www.wbc.poznan.pl:51869,uczymy się nowej pisowni (rubryka),other_page,0446.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51869
14176,oai:www.wbc.poznan.pl:51869,tegoroczne żniwa nieco gorsze,other_page,0446.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51869
14177,oai:www.wbc.poznan.pl:51869,zagadka starej kamiennicy (powieść),other_page,0446.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51869
14178,oai:www.wbc.poznan.pl:61233,gary cooper,other_page,0004_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/61233
14179,oai:www.wbc.poznan.pl:61233,początki politechniki poznańskiej,other_page,0004_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/61233
14180,oai:www.wbc.poznan.pl:61233,trędowata,other_page,0004_0001.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/61233
14181,oai:www.wbc.poznan.pl:51212,noc kupały,last_page,0864.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51212
14202,oai:www.wbc.poznan.pl:50608,z życia wielkopolskiego (rubryka),other_page,0139.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/50608
14203,oai:www.wbc.poznan.pl:50608,kobiety zbytku (powieść),other_page,0139.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/50608
14204,oai:www.wbc.poznan.pl:50608,marsz głodowy w lesznie,other_page,0139.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/50608
14205,oai:www.wbc.poznan.pl:47303,kto reprezentuje wielkopolskę w senacie,other_page,0988.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/47303
14206,oai:www.wbc.poznan.pl:47303,wyniki wyborów,other_page,0988.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/47303
14207,oai:www.wbc.poznan.pl:47303,kobiety w służbie gestapo,other_page,0988.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/47303
14208,oai:www.wbc.poznan.pl:47303,jej tajemnica (powieść),other_page,0988.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/47303
14209,oai:www.wbc.poznan.pl:50608,drużyna bobslejowa (ilustracja),other_page,0137.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/50608
14210,oai:www.wbc.poznan.pl:50608,hołd oficerski (ilustracja),other_page,0137.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/50608
14211,oai:www.wbc.poznan.pl:50608,uśmiechnij się (ilustracja),other_page,0137.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/50608
14212,oai:www.wbc.poznan.pl:50608,7 tysiecy osób zasłabło,other_page,0137.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/50608
14213,oai:www.wbc.poznan.pl:50608,pogrzeb w brytyjskiej rodzinie królewskiej,other_page,0137.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/50608
14214,oai:www.wbc.poznan.pl:51885,poznańskie ateny,other_page,0483.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51885
14215,oai:www.wbc.poznan.pl:51885,transmisja koncertu z kolegiaty w szamotułach,other_page,0483.djvu,1,2,TRUE,https://www.wbc.poznan.pl/dlibra/publication/edition/51885
14216,oai:www.wbc.poznan.pl:51885,o siedem godzin wcześniej (powieść),other_page,0483.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/51885
14217,oai:www.wbc.poznan.pl:66791,harcerze wielkopolscy,other_page,0601_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/66791
14218,oai:www.wbc.poznan.pl:66791,stosunki brytyjsko - niemieckie,other_page,0601_0001.djvu,1,2,FALSE,https://www.wbc.poznan.pl/dlibra/publication/edition/66791
