id,oai_id,value,order,file,verified,entry_type,has_attach,display_name,link_to_content
7219,oai:www.wbc.poznan.pl:47312,dominikańska,last_page,1040.djvu,5,1,FALSE,ul. dominikańska,https://www.wbc.poznan.pl/dlibra/publication/edition/47312
722,oai:www.wbc.poznan.pl:46356,nowa,other_page,451.djvu,5,1,FALSE,ul. nowa,https://www.wbc.poznan.pl/dlibra/publication/edition/46356
7234,oai:www.wbc.poznan.pl:51998,pocztowa,last_page,0908.djvu,5,1,FALSE,ul. pocztowa,https://www.wbc.poznan.pl/dlibra/publication/edition/51998
7236,oai:www.wbc.poznan.pl:51045,grunwaldzka,other_page,0496.djvu,5,1,FALSE,ul. grunwaldzka,https://www.wbc.poznan.pl/dlibra/publication/edition/51045
7237,oai:www.wbc.poznan.pl:51045,palacza,other_page,0496.djvu,5,1,FALSE,ul. palacza,https://www.wbc.poznan.pl/dlibra/publication/edition/51045
7238,oai:www.wbc.poznan.pl:51045,górna wilda,last_page,0498.djvu,5,1,FALSE,górna wilda,https://www.wbc.poznan.pl/dlibra/publication/edition/51045
7239,oai:www.wbc.poznan.pl:51045,młyńska,last_page,0498.djvu,5,1,FALSE,ul. młyńska,https://www.wbc.poznan.pl/dlibra/publication/edition/51045
7240,oai:www.wbc.poznan.pl:51045,ratajczaka,last_page,0498.djvu,5,1,FALSE,ul. ratajczaka,https://www.wbc.poznan.pl/dlibra/publication/edition/51045
7245,oai:www.wbc.poznan.pl:51045,górna wilda,other_page,0493.djvu,5,1,FALSE,górna wilda,https://www.wbc.poznan.pl/dlibra/publication/edition/51045
7246,oai:www.wbc.poznan.pl:51045,młyńska,other_page,0493.djvu,5,1,FALSE,ul. młyńska,https://www.wbc.poznan.pl/dlibra/publication/edition/51045
7247,oai:www.wbc.poznan.pl:51045,szkolna,other_page,0493.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/51045
725,oai:www.wbc.poznan.pl:51279,młyńska,other_page,0733.djvu,5,1,FALSE,ul. młyńska,https://www.wbc.poznan.pl/dlibra/publication/edition/51279
7267,oai:www.wbc.poznan.pl:51632,podgórna,last_page,0054.djvu,5,1,FALSE,ul. podgórna,https://www.wbc.poznan.pl/dlibra/publication/edition/51632
7273,oai:www.wbc.poznan.pl:51682,młyńska,last_page,0212.djvu,5,1,FALSE,ul. młyńska,https://www.wbc.poznan.pl/dlibra/publication/edition/51682
7299,oai:www.wbc.poznan.pl:46952,kosińskiego,other_page,0576.djvu,5,1,FALSE,ul. kosińskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/46952
73,oai:www.wbc.poznan.pl:46608,szkolna,last_page,0042.djvu,1,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/46608
7307,oai:www.wbc.poznan.pl:50708,ogrodowa,other_page,0402.djvu,5,1,FALSE,ul. ogrodowa,https://www.wbc.poznan.pl/dlibra/publication/edition/50708
732,oai:www.wbc.poznan.pl:51279,szkolna,last_page,0738.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/51279
7321,oai:www.wbc.poznan.pl:51021,piekary,last_page,0402.djvu,5,1,FALSE,ul. piekary,https://www.wbc.poznan.pl/dlibra/publication/edition/51021
7322,oai:www.wbc.poznan.pl:51021,rybaki,last_page,0402.djvu,5,1,FALSE,ul. rybaki,https://www.wbc.poznan.pl/dlibra/publication/edition/51021
7323,oai:www.wbc.poznan.pl:51021,szkolna,last_page,0402.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/51021
7332,oai:www.wbc.poznan.pl:61263,kopernika,other_page,0176_0001.djvu,5,1,FALSE,ul. kopernika,https://www.wbc.poznan.pl/dlibra/publication/edition/61263
7339,oai:www.wbc.poznan.pl:62770,wolności,last_page,0320_0001.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/62770
7353,oai:www.wbc.poznan.pl:47341,dominikańska,last_page,1046.djvu,5,1,FALSE,ul. dominikańska,https://www.wbc.poznan.pl/dlibra/publication/edition/47341
7356,oai:www.wbc.poznan.pl:47341,półwiejska,last_page,1046.djvu,5,1,FALSE,ul. półwiejska,https://www.wbc.poznan.pl/dlibra/publication/edition/47341
7357,oai:www.wbc.poznan.pl:47341,fredry,other_page,1044.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/47341
7375,oai:www.wbc.poznan.pl:51626,marcinkowskiego,last_page,0018.djvu,5,1,FALSE,al. marcinkowskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/51626
7377,oai:www.wbc.poznan.pl:51626,półwiejska,last_page,0018.djvu,5,1,FALSE,ul. półwiejska,https://www.wbc.poznan.pl/dlibra/publication/edition/51626
7387,oai:www.wbc.poznan.pl:51807,marcinkowskiego,last_page,0236.djvu,5,1,FALSE,al. marcinkowskiego,https://www.wbc.poznan.pl/dlibra/publication/edition/51807
7390,oai:www.wbc.poznan.pl:51807,ratajczaka,last_page,0236.djvu,5,1,FALSE,ul. ratajczaka,https://www.wbc.poznan.pl/dlibra/publication/edition/51807
7391,oai:www.wbc.poznan.pl:51807,św. marcin,last_page,0236.djvu,5,1,FALSE,ul. św. marcin,https://www.wbc.poznan.pl/dlibra/publication/edition/51807
7403,oai:www.wbc.poznan.pl:51148,szkolna,last_page,0617.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/51148
7409,oai:www.wbc.poznan.pl:51148,ogrodowa,other_page,0615.djvu,5,1,FALSE,ul. ogrodowa,https://www.wbc.poznan.pl/dlibra/publication/edition/51148
7410,oai:www.wbc.poznan.pl:51148,wolności,other_page,0615.djvu,5,1,FALSE,pl. wolności,https://www.wbc.poznan.pl/dlibra/publication/edition/51148
7413,oai:www.wbc.poznan.pl:51063,szewska,last_page,0563.djvu,5,1,FALSE,ul. szewska,https://www.wbc.poznan.pl/dlibra/publication/edition/51063
7414,oai:www.wbc.poznan.pl:51063,szkolna,last_page,0563.djvu,5,1,FALSE,ul. szkolna,https://www.wbc.poznan.pl/dlibra/publication/edition/51063
7426,oai:www.wbc.poznan.pl:66978,fredry,other_page,0805_0001.djvu,5,1,FALSE,ul. fredry,https://www.wbc.poznan.pl/dlibra/publication/edition/66978
7432,oai:www.wbc.poznan.pl:46914,bergera,other_page,0438.djvu,5,1,FALSE,ul. bergera,https://www.wbc.poznan.pl/dlibra/publication/edition/46914
7433,oai:www.wbc.poznan.pl:46914,ratajczaka,other_page,0438.djvu,5,1,FALSE,ul. ratajczaka,https://www.wbc.poznan.pl/dlibra/publication/edition/46914
7439,oai:www.wbc.poznan.pl:46914,27 grudnia,first_page,0435.djvu,5,1,FALSE,ul. 27 grudnia,https://www.wbc.poznan.pl/dlibra/publication/edition/46914
744,oai:www.wbc.poznan.pl:51117,górna wilda,last_page,0756.djvu,5,1,FALSE,górna wilda,https://www.wbc.poznan.pl/dlibra/publication/edition/51117
7440,oai:www.wbc.poznan.pl:46914,pocztowa,other_page,0437.djvu,5,1,FALSE,ul. pocztowa,https://www.wbc.poznan.pl/dlibra/publication/edition/46914
7447,oai:www.wbc.poznan.pl:46325,27 grudnia,other_page,350.djvu,5,1,FALSE,ul. 27 grudnia,https://www.wbc.poznan.pl/dlibra/publication/edition/46325
